Year ,AAA ,Aaplus,AA ,Aaminus,Aplus,A ,Aminus,BBBplus,BBB ,BBBminus,Bbplus,BB ,Bbminus,Bplus,B ,Bminus,CCC_C,Average_all_ratings
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0.7
1982,0,0,0,0,0,0.33,0,0,0.7,0,0,2.86,7.14,2.22,2.33,7.41,21.43,3.6
1983,0,0,0,0,0,0,0,0,0,1.35,2.27,0,1.64,1.22,9.8,4.76,6.67,3.8
1984,0,0,0,0,0,0,0,0,1.42,0,0,1.72,1.56,2.13,3.51,7.69,25,3.3
1985,0,0,0,0,0,0,0,0,0,0,1.69,1.56,1.39,2.59,13.11,8,15.38,3.4
1986,0,0,0,0,0,0,0.78,0,0.79,0,1.85,1.22,1.14,4.68,12.16,17.07,23.08,5.6
1987,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.32,6.02,6.82,12.28,4.2
1988,0,0,0,0,0,0,0,0,0,0,0,0,2.34,2,4.55,9.8,20.37,3.6
1989,0,0,0,0,0,0,0,0.92,0.81,0,0,0,2,0.43,7.86,4.88,31.37,5.8
1990,0,0,0,0,0,0,0,0.78,0,1.11,1.43,3.06,4.5,4.91,12.38,22.58,31.82,10
1991,0,0,0,0,0,0,0,0.84,0.75,0,3.77,1.12,1.05,8.72,16.88,30.56,32.76,9.4
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,15.87,20.83,31.37,5.2
1993,0,0,0,0,0,0,0,0,0,0,0,1.94,0,1.32,4.26,4.35,14.29,3.1
1994,0,0,0,0,0,0,0,0,0,0,0,0.89,0,1.87,6.85,3.33,17.39,2.1
1995,0,0,0,0,0,0,0,0,0,0.72,0,1.67,1.23,2.89,7.29,8.11,30.43,2.9
1996,0,0,0,0,0,0,0,0,0,0,0.96,0,0.62,2.48,3.92,4.26,4.55,1.6
1997,0,0,0,0,0,0,0,0.48,0,0,0,0,0.47,0.8,5.69,15.91,8.33,2
1998,0,0,0,0,0,0,0,0,0.36,0,0,0.71,0.46,1.66,6.72,8.2,42.86,3.2
1999,0,0,0,0.64,0,0.37,0.43,0,0.38,0.45,0.84,1.3,0.81,4.02,9.14,15.19,37.5,5.4
2000,0,0,0,0,0,0.37,0.93,0,0.37,0.92,0,1.23,3.35,6.33,10.82,14.47,40.32,6.3
2001,0,0,0,0,0.92,0,0,0.41,0.71,0.44,0.79,1.29,4.64,5.56,16.39,28.72,50.62,10.1
2002,0,0,0,0,0,0,0,1.22,0.68,2.15,1.74,1.16,4,2.89,6.29,18.75,34.65,7.9
2003,0,0,0,0,0,0,0,0,0,0,0.86,1.59,0.4,1.03,5.26,13.7,37.14,5.1
2004,0,0,0,0,0,0.43,0,0,0,0,0,1.18,0.39,0,3.41,3.85,21.69,2.3
2005,0,0,0,0,0,0,0,0,0.3,0,0.78,0,0.4,1.08,3.32,4.95,11.11,1.7
2006,0,0,0,0,0,0,0,0,0,0,0.85,0,0.4,0.52,0.72,0.93,14.86,1.7
2007,0,0,0,0,0,0,0,0,0,0,0,0.54,0.39,0,0,0.68,16.67,0.9
2008,0,0,1.11,1,0.79,0.48,0.96,0.45,0.76,0.95,2.42,0.63,0.77,3.04,3.13,7.88,29.58,4.1
